package_rank,candidate_id,study,required_artifact,known_legacy_cache_dir,source_file_hint,extraction_status,line_query_command,acceptance_question,overclaim_boundary
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,beam_deflection_broadening_calibration.csv,outputs/tmp/kokorowski_source/extracted,decoh.tex,planned,test -f outputs/tmp/kokorowski_source/extracted/decoh.tex && rg -n -i 'beam|deflection|broadening|calibration|kappa' outputs/tmp/kokorowski_source/extracted/decoh.tex,Does the source expose raw beam-deflection/broadening calibration values with uncertainty and setting provenance?,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,kappa_uncertainty_notes.md,outputs/tmp/kokorowski_source/extracted,decoh.tex,planned,test -f outputs/tmp/kokorowski_source/extracted/decoh.tex && rg -n -i 'kappa|uncertainty|standard error|se|sigma' outputs/tmp/kokorowski_source/extracted/decoh.tex,Does the source expose kappa uncertainty assumptions and reported standard errors independently of the visibility fit?,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,paired_contrast_values.csv,outputs/tmp/kokorowski_source/extracted,decoh.tex,planned,test -f outputs/tmp/kokorowski_source/extracted/decoh.tex && rg -n -i 'contrast|visibility|decoherence|kappa' outputs/tmp/kokorowski_source/extracted/decoh.tex,Does the source expose paired contrast or visibility values and their settings without digitizing the figure?,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,record_distribution.csv,outputs/tmp/second_no_refit_sources/mir/extracted,www-rev.tex,planned,test -f outputs/tmp/second_no_refit_sources/mir/extracted/www-rev.tex && rg -n -i 'record|momentum|distribution|weak|shift' outputs/tmp/second_no_refit_sources/mir/extracted/www-rev.tex,Does the source expose a measured record or momentum distribution with enough coordinates to test distribution-to-visibility links?,do not count an independent record distribution without a paired visibility-loss curve
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,setting_pairing_notes.md,outputs/tmp/second_no_refit_sources/mir/extracted,www-rev.tex,planned,test -f outputs/tmp/second_no_refit_sources/mir/extracted/www-rev.tex && rg -n -i 'setting|pair|which-way|visibility|contrast' outputs/tmp/second_no_refit_sources/mir/extracted/www-rev.tex,Does the source document how which-way settings pair to visibility or contrast measurements?,do not count an independent record distribution without a paired visibility-loss curve
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,visibility_or_contrast_sweep.csv,outputs/tmp/second_no_refit_sources/mir/extracted,www-rev.tex,planned,test -f outputs/tmp/second_no_refit_sources/mir/extracted/www-rev.tex && rg -n -i 'visibility|contrast|fringe|which-way|weak' outputs/tmp/second_no_refit_sources/mir/extracted/www-rev.tex,Does the source expose a visibility or contrast sweep paired to the measured record variable?,do not count an independent record distribution without a paired visibility-loss curve
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independence_provenance.md,outputs/tmp/second_no_refit_sources/eibenberger,not available,planned,test -d outputs/tmp/second_no_refit_sources/eibenberger && rg -n -i 'independent|provenance|measured|fit|visibility' outputs/tmp/second_no_refit_sources/eibenberger,Does the source show the measured record distribution is independent of the visibility-derived fit target?,do not count visibility-derived record variables as independent distribution-to-visibility validation
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independent_record_distribution.csv,outputs/tmp/second_no_refit_sources/eibenberger,not available,planned,test -d outputs/tmp/second_no_refit_sources/eibenberger && rg -n -i 'record|distribution|momentum|correlation|width' outputs/tmp/second_no_refit_sources/eibenberger,Does the source expose an independently measured record distribution rather than a value reconstructed from visibility?,do not count visibility-derived record variables as independent distribution-to-visibility validation
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,paired_visibility_or_contrast.csv,outputs/tmp/second_no_refit_sources/eibenberger,not available,planned,test -d outputs/tmp/second_no_refit_sources/eibenberger && rg -n -i 'visibility|contrast|fringe|coherence|setting' outputs/tmp/second_no_refit_sources/eibenberger,Does the source expose a paired visibility or contrast observable for the same settings as the record distribution?,do not count visibility-derived record variables as independent distribution-to-visibility validation
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independence_provenance.md,outputs/tmp/third_hunt_sources/hornberger/extracted,not available,planned,test -d outputs/tmp/third_hunt_sources/hornberger/extracted && rg -n -i 'independent|provenance|measured|fit|visibility' outputs/tmp/third_hunt_sources/hornberger/extracted,Does the source show the measured record distribution is independent of the visibility-derived fit target?,do not count visibility-derived record variables as independent distribution-to-visibility validation
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independent_record_distribution.csv,outputs/tmp/third_hunt_sources/hornberger/extracted,not available,planned,test -d outputs/tmp/third_hunt_sources/hornberger/extracted && rg -n -i 'record|distribution|momentum|correlation|width' outputs/tmp/third_hunt_sources/hornberger/extracted,Does the source expose an independently measured record distribution rather than a value reconstructed from visibility?,do not count visibility-derived record variables as independent distribution-to-visibility validation
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,paired_visibility_or_contrast.csv,outputs/tmp/third_hunt_sources/hornberger/extracted,not available,planned,test -d outputs/tmp/third_hunt_sources/hornberger/extracted && rg -n -i 'visibility|contrast|fringe|coherence|setting' outputs/tmp/third_hunt_sources/hornberger/extracted,Does the source expose a paired visibility or contrast observable for the same settings as the record distribution?,do not count visibility-derived record variables as independent distribution-to-visibility validation
5,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independence_provenance.md,outputs/tmp/second_no_refit_sources/hochrainer/extracted,not available,planned,test -d outputs/tmp/second_no_refit_sources/hochrainer/extracted && rg -n -i 'independent|provenance|measured|fit|visibility' outputs/tmp/second_no_refit_sources/hochrainer/extracted,Does the source show the measured record distribution is independent of the visibility-derived fit target?,do not count visibility-derived record variables as independent distribution-to-visibility validation
5,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independent_record_distribution.csv,outputs/tmp/second_no_refit_sources/hochrainer/extracted,not available,planned,test -d outputs/tmp/second_no_refit_sources/hochrainer/extracted && rg -n -i 'record|distribution|momentum|correlation|width' outputs/tmp/second_no_refit_sources/hochrainer/extracted,Does the source expose an independently measured record distribution rather than a value reconstructed from visibility?,do not count visibility-derived record variables as independent distribution-to-visibility validation
5,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,paired_visibility_or_contrast.csv,outputs/tmp/second_no_refit_sources/hochrainer/extracted,not available,planned,test -d outputs/tmp/second_no_refit_sources/hochrainer/extracted && rg -n -i 'visibility|contrast|fringe|coherence|setting' outputs/tmp/second_no_refit_sources/hochrainer/extracted,Does the source expose a paired visibility or contrast observable for the same settings as the record distribution?,do not count visibility-derived record variables as independent distribution-to-visibility validation
6,LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,independence_provenance.md,not available,not available,planned,no known ignored legacy cache; run the retrieval_command before extracting source-package line evidence,Does the source show the measured record distribution is independent of the visibility-derived fit target?,do not count visibility-derived record variables as independent distribution-to-visibility validation
6,LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,independent_record_distribution.csv,not available,not available,planned,no known ignored legacy cache; run the retrieval_command before extracting source-package line evidence,Does the source expose an independently measured record distribution rather than a value reconstructed from visibility?,do not count visibility-derived record variables as independent distribution-to-visibility validation
6,LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,paired_visibility_or_contrast.csv,not available,not available,planned,no known ignored legacy cache; run the retrieval_command before extracting source-package line evidence,Does the source expose a paired visibility or contrast observable for the same settings as the record distribution?,do not count visibility-derived record variables as independent distribution-to-visibility validation
7,CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,independence_provenance.md,outputs/tmp/third_hunt_sources/cormann,not available,planned,test -d outputs/tmp/third_hunt_sources/cormann && rg -n -i 'independent|provenance|measured|fit|visibility' outputs/tmp/third_hunt_sources/cormann,Does the source show the measured record distribution is independent of the visibility-derived fit target?,do not count visibility-derived record variables as independent distribution-to-visibility validation
7,CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,independent_record_distribution.csv,outputs/tmp/third_hunt_sources/cormann,not available,planned,test -d outputs/tmp/third_hunt_sources/cormann && rg -n -i 'record|distribution|momentum|correlation|width' outputs/tmp/third_hunt_sources/cormann,Does the source expose an independently measured record distribution rather than a value reconstructed from visibility?,do not count visibility-derived record variables as independent distribution-to-visibility validation
7,CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,paired_visibility_or_contrast.csv,outputs/tmp/third_hunt_sources/cormann,not available,planned,test -d outputs/tmp/third_hunt_sources/cormann && rg -n -i 'visibility|contrast|fringe|coherence|setting' outputs/tmp/third_hunt_sources/cormann,Does the source expose a paired visibility or contrast observable for the same settings as the record distribution?,do not count visibility-derived record variables as independent distribution-to-visibility validation
