route_rank,candidate_id,study,evidence_class,route_rows,artifact_focuses,primary_source_url,doi,source_route,route_check_status,first_artifact_focus,first_acceptance_criteria,overclaim_boundary
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,raw_calibration_tables,3,beam_deflection_broadening_calibration.csv;kappa_uncertainty_notes.md;paired_contrast_values.csv,https://arxiv.org/abs/quant-ph/0009044,https://doi.org/10.1103/PhysRevLett.86.2191,primary_url:https://arxiv.org/abs/quant-ph/0009044;doi:https://doi.org/10.1103/PhysRevLett.86.2191,not_checked,beam_deflection_broadening_calibration.csv,"accept only if the source provides beam_deflection_broadening_calibration.csv with minimum columns branch_or_intensity,calibration_observable,value,value_se,units,independence_basis,source_note and supports recover raw beam-deflection/broadening calibration tables with independent kappa uncertainty provenance",do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,paired_visibility_curve,3,record_distribution.csv;setting_pairing_notes.md;visibility_or_contrast_sweep.csv,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,primary_url:https://arxiv.org/abs/0706.3966;doi:https://doi.org/10.1088/1367-2630/9/8/287,not_checked,record_distribution.csv,"accept only if the source provides record_distribution.csv with minimum columns which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note and supports recover a paired visibility or contrast sweep measured under the same record-distribution settings",do not count an independent record distribution without a paired visibility-loss curve
3,KOCSIS_2011_AVERAGE_TRAJECTORIES,Kocsis et al. 2011,paired_visibility_curve,3,record_distribution.csv;setting_pairing_notes.md;visibility_or_contrast_sweep.csv,https://www.nist.gov/publications/observing-average-trajectories-single-photons-two-slit-interferometer,https://doi.org/10.1126/science.1202218,primary_url:https://www.nist.gov/publications/observing-average-trajectories-single-photons-two-slit-interferometer;doi:https://doi.org/10.1126/science.1202218,not_checked,record_distribution.csv,"accept only if the source provides record_distribution.csv with minimum columns which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note and supports recover a paired visibility or contrast sweep measured under the same record-distribution settings",do not count an independent record distribution without a paired visibility-loss curve
4,ROZEMA_2012_WEAK_MEASUREMENT_DISTURBANCE,Rozema et al. 2012,paired_visibility_curve,3,record_distribution.csv;setting_pairing_notes.md;visibility_or_contrast_sweep.csv,https://doi.org/10.1103/PhysRevLett.109.100404,https://doi.org/10.1103/PhysRevLett.109.100404,primary_url:https://doi.org/10.1103/PhysRevLett.109.100404;doi:https://doi.org/10.1103/PhysRevLett.109.100404,not_checked,record_distribution.csv,"accept only if the source provides record_distribution.csv with minimum columns which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note and supports recover a paired visibility or contrast sweep measured under the same record-distribution settings",do not count an independent record distribution without a paired visibility-loss curve
5,KANEDA_2014_ERROR_DISTURBANCE,Kaneda et al. 2014,paired_visibility_curve,3,record_distribution.csv;setting_pairing_notes.md;visibility_or_contrast_sweep.csv,https://doi.org/10.1103/PhysRevLett.112.020402,https://doi.org/10.1103/PhysRevLett.112.020402,primary_url:https://doi.org/10.1103/PhysRevLett.112.020402;doi:https://doi.org/10.1103/PhysRevLett.112.020402,not_checked,record_distribution.csv,"accept only if the source provides record_distribution.csv with minimum columns which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note and supports recover a paired visibility or contrast sweep measured under the same record-distribution settings",do not count an independent record distribution without a paired visibility-loss curve
6,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independent_record_distribution,3,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,https://arxiv.org/abs/1402.5307,https://doi.org/10.1103/PhysRevLett.112.250402,primary_url:https://arxiv.org/abs/1402.5307;doi:https://doi.org/10.1103/PhysRevLett.112.250402,not_checked,independence_provenance.md,"accept only if the source provides independence_provenance.md with minimum columns setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note and supports recover an independently measured record distribution with provenance separate from the visibility fit",do not count visibility-derived record variables as independent distribution-to-visibility validation
7,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independent_record_distribution,3,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,https://arxiv.org/abs/quant-ph/0307238,https://doi.org/10.1007/s00340-003-1312-6,primary_url:https://arxiv.org/abs/quant-ph/0307238;doi:https://doi.org/10.1007/s00340-003-1312-6,not_checked,independence_provenance.md,"accept only if the source provides independence_provenance.md with minimum columns setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note and supports recover an independently measured record distribution with provenance separate from the visibility fit",do not count visibility-derived record variables as independent distribution-to-visibility validation
8,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independent_record_distribution,3,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,https://arxiv.org/abs/1610.05529,https://doi.org/10.1073/pnas.1615874114,primary_url:https://arxiv.org/abs/1610.05529;doi:https://doi.org/10.1073/pnas.1615874114,not_checked,independence_provenance.md,"accept only if the source provides independence_provenance.md with minimum columns setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note and supports recover an independently measured record distribution with provenance separate from the visibility fit",do not count visibility-derived record variables as independent distribution-to-visibility validation
9,LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,independent_record_distribution,3,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,https://arxiv.org/abs/1610.04298,https://doi.org/10.1103/PhysRevA.96.013822,primary_url:https://arxiv.org/abs/1610.04298;doi:https://doi.org/10.1103/PhysRevA.96.013822,not_checked,independence_provenance.md,"accept only if the source provides independence_provenance.md with minimum columns setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note and supports recover an independently measured record distribution with provenance separate from the visibility fit",do not count visibility-derived record variables as independent distribution-to-visibility validation
10,DING_2025_WAVE_PARTICLE_ENTANGLEMENT_TRIAD,Ding et al. 2025,independent_record_distribution,3,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,https://www.nature.com/articles/s41377-025-01759-4,https://doi.org/10.1038/s41377-025-01759-4,primary_url:https://www.nature.com/articles/s41377-025-01759-4;doi:https://doi.org/10.1038/s41377-025-01759-4,not_checked,independence_provenance.md,"accept only if the source provides independence_provenance.md with minimum columns setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note and supports recover an independently measured record distribution with provenance separate from the visibility fit",do not count visibility-derived record variables as independent distribution-to-visibility validation
11,CHEN_2022_ASYMMETRIC_BEAM_DUALITY,Chen et al. 2022,independent_record_distribution,3,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,https://www.nature.com/articles/s41534-022-00610-7,https://doi.org/10.1038/s41534-022-00610-7,primary_url:https://www.nature.com/articles/s41534-022-00610-7;doi:https://doi.org/10.1038/s41534-022-00610-7,not_checked,independence_provenance.md,"accept only if the source provides independence_provenance.md with minimum columns setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note and supports recover an independently measured record distribution with provenance separate from the visibility fit",do not count visibility-derived record variables as independent distribution-to-visibility validation
12,YOON_2021_QUANTITATIVE_COMPLEMENTARITY,Yoon and Cho 2021,independent_record_distribution,3,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,https://pmc.ncbi.nlm.nih.gov/articles/PMC8373128/,https://doi.org/10.1126/sciadv.abi9268,primary_url:https://pmc.ncbi.nlm.nih.gov/articles/PMC8373128/;doi:https://doi.org/10.1126/sciadv.abi9268,not_checked,independence_provenance.md,"accept only if the source provides independence_provenance.md with minimum columns setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note and supports recover an independently measured record distribution with provenance separate from the visibility fit",do not count visibility-derived record variables as independent distribution-to-visibility validation
13,CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,independent_record_distribution,3,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,primary_url:https://arxiv.org/abs/1508.01353;doi:https://doi.org/10.1103/PhysRevA.93.042124,not_checked,independence_provenance.md,"accept only if the source provides independence_provenance.md with minimum columns setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note and supports recover an independently measured record distribution with provenance separate from the visibility fit",do not count visibility-derived record variables as independent distribution-to-visibility validation
14,DURR_1998_COMPLEMENTARITY,Duerr/Nonn/Rempe 1998,independent_record_distribution,3,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,https://doi.org/10.1038/31822,https://doi.org/10.1038/31822,primary_url:https://doi.org/10.1038/31822;doi:https://doi.org/10.1038/31822,not_checked,independence_provenance.md,"accept only if the source provides independence_provenance.md with minimum columns setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note and supports recover an independently measured record distribution with provenance separate from the visibility fit",do not count visibility-derived record variables as independent distribution-to-visibility validation
